ObjectID,GlobalID,CreationDate,Creator,EditDate,Editor,Date and Time,Observer,Other - Observer,Site,Other - Site,Wetland ID,Start time,Air temperature (C),Relative humidity (%),Wind speed (m/s),Wetland area ponded (%),Max water depth (cm),Canopy closure (%),Emergent vegetation (%),Additional notes on wetland conditions,Did you detect any amphibians?,Species 1 observed,Species 1 life stage,Other - Species 1 life stage,Species 1 sweeps to first detection,Species 2 observed,Species 2 life stage,Other - Species 2 life stage,Species 2 sweeps to first detection,Species 3 observed,Species 3 life stage,Other - Species 3 life stage,Species 3 sweeps to first detection,Species 4 observed,Species 4 life stage,Other - Species 4 life stage,Species 4 sweeps to first detection,Species 5 observed,Species 5 life stage,Other - Species 5 life stage,Species 5 sweeps to first detection,Species 6 observed,Species 6 life stage,Other - Species 6 life stage,Species 6 sweeps to first detection,Species 7 observed,Species 7 life stage,Other - Species 7 life stage,Species 7 sweeps to first detection,Species 8 observed,Species 8 life stage,Other - Species 8 life stage,Species 8 sweeps to first detection,Species 9 observed,Species 9 life stage,Other - Species 9 life stage,Species 9 sweeps to first detection,Species 10 observed,Species 10 life stage,Other - Species 10 life stage,Species 10 sweeps to first detection,Species 11 observed,Species 11 life stage,Other - Species 11 life stage,Species 11 sweeps to first detection,Species 12 observed,Species 12 life stage,Other - Species 12 life stage,Species 13 observed,Species 13 life stage,Other - Species 13 life stage,Species 13 sweeps to first detection,Species 14 observed,Species 14 life stage,Other - Species 14 life stage,Species 14 sweeps to first detection,Species 15 observed,Species 15 life stage,Other - Species 15 life stage,Species 15 sweeps to first detection,Sweeps to first dragonfly nymph detection ,Sweeps to first larval Dytiscid detection,Sweeps to first adult Dytiscid detection,Sweeps to first giant water bug detection,Sweeps to first crayfish detection,Sweeps to first mosquitofish detection,Sweeps to first sunfish detection,Sweeps to first warmouth detection,Sweeps to first [other] fish detection,End time,Total number of sweeps,Notes,Animal Detection Form,Did you check the ARD?,ARD Actions,ARD Notes,Did you dipnet the wetland?,x,y
29,acddcde5-f345-4a10-8d6d-71d67f026ff0,1/19/2024 5:03:03 PM,knh01184_USG,1/19/2024 5:03:03 PM,knh01184_USG,1/19/2024 3:24:00 PM,other,"KK Hiten, Ellie Bond",Alapaha River WMA,,42,11:26,,,,77,36,0-5,6-25,"Lots of debris, little leaf matter near edges",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,11:57,42,"Sweep 2 found unknown insect larvae, small and clear, 2 prong tail, brown stripe down middle. Christina took photo",,No,Unit_working_and_unchanged,,Yes,-83.3419066666667,31.4971633333333
30,3bd5d250-6c2f-411e-ba11-dabdd8ffb27b,1/19/2024 5:52:29 PM,dvs12634_USG,1/19/2024 5:52:29 PM,dvs12634_USG,1/19/2024 4:19:00 PM,other,"Dhruv Singh, Paul Hassel",Alapaha River WMA,,42,11:21,,,,70,45,0-5,51-75,Fallen logs everywhere,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,11:52,58,"Fallen logs, did not find any amphibs",,No,Unit_working_and_unchanged,"
",Yes,-83.3416015365048,31.4980934166161
31,9bd9ac2c-d897-4f5c-b27a-3eed71e869c8,1/19/2024 9:10:37 PM,agc93487_USG,1/19/2024 9:10:37 PM,agc93487_USG,1/19/2024 4:22:00 PM,other,"Andie Crenshaw , Madison Dacus",Alapaha River WMA,,42,11:23,,,,70,40,6-25,6-25,,Yes,Pseudacris crucifer,calling adult,,3,Acris gryllus,adult,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,11:50,29,,,No,Unit_working_and_unchanged,,Yes,-83.3417907916786,31.4974597469266
32,61b9c16f-ae6a-4dcf-905c-b3de8ed0ce54,1/19/2024 10:53:39 PM,jcmaerz_USG,1/19/2024 10:53:39 PM,jcmaerz_USG,1/19/2024 6:04:00 PM,other,"Ellie Bond, KK Hiten",Alapaha River WMA,,30,13:00,,,,85,30,0-5,51-75,,Yes,Rana sphenocephala,egg,,10,Ambystoma tigrinum,egg,,13,Pseudacris ornata,calling adult,,13,Pseudacris ocularis,calling adult,,13,,adult,,31,Pseudacris ornata,egg,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:31,57,-Species 5 water beetle—black with orange T on back—red side shimmy legs 1on each side,,No,Unit_working_and_unchanged,,Yes,-83.347349959095,31.5162691111412
33,bf1acc84-a8bb-4ada-a48b-397093e47a41,1/19/2024 10:54:04 PM,jcmaerz_USG,1/19/2024 10:54:04 PM,jcmaerz_USG,1/19/2024 7:40:00 PM,other,Ellie Bond,Alapaha River WMA,,4,14:40,,,,90,40,0-5,75-100,,Yes,Pseudacris ornata,egg,,1,Pseudacris ocularis,calling adult,,25,Pseudacris nigrita,calling adult,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:03,41,,,No,Unit_working_and_unchanged,,Yes,-83.3492184815972,31.5354394995214
34,f5f477f3-20ef-4230-af5a-7042d784a471,1/19/2024 10:54:50 PM,agc93487_USG,1/19/2024 10:54:50 PM,agc93487_USG,1/19/2024 7:40:00 PM,other,"Andie Crenshaw, Madison dacus",Alapaha River WMA,,4,14:42,,,,80,35,0-5,75-100,,Yes,Pseudacris ornata,egg,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:07,41,Large amounts of ornata egg masses,,Yes,Unit_working_and_unchanged,,Yes,-83.3491218938932,31.5354536918579
35,f6b238d9-00fb-4542-90cd-4e961f7f7b6a,1/19/2024 10:55:00 PM,jcmaerz_USG,1/19/2024 10:55:00 PM,jcmaerz_USG,1/19/2024 8:34:00 PM,other,"Ellie Bond, KK Haten ",Alapaha River WMA,,18,15:35,,,,80,25,6-25,0-5,,Yes,Rana sphenocephala,egg,,2,Rana sphenocephala,juvenile,,16,Rana sphenocephala,calling adult,,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16:05,63,,,Yes,Unit_working_and_unchanged,,Yes,-83.3685461033747,31.5204715674363
36,1d246333-4f3e-4e2b-833c-107b5d7bf53a,1/19/2024 10:55:25 PM,jcmaerz_USG,1/19/2024 10:55:25 PM,jcmaerz_USG,1/19/2024 9:55:00 PM,other,"Ellie Bond, KK Hiten",Alapaha River WMA,,15,16:56,,,,75,40,6-25,26-50,,Yes,Rana sphenocephala,egg,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17:24,66,,,No,Unit_working_and_unchanged,,Yes,-83.3808423807727,31.5248331047934
37,0c8d9860-4e4d-404d-bb5a-0effb9385596,1/19/2024 10:55:58 PM,agc93487_USG,1/19/2024 10:55:58 PM,agc93487_USG,1/19/2024 9:54:00 PM,other,"Andie Crenshaw , Madison dacus",Alapaha River WMA,,15,16:54,,,,10,30,6-25,26-50,,Yes,Rana sphenocephala,egg,,7,Rana sphenocephala,adult,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17:23,38,,,Yes,Unit_working_and_unchanged,,Yes,-83.3806753835643,31.5246595259952
38,f27ca28c-5552-4e73-b484-4da5f094e39c,1/19/2024 10:55:59 PM,dvs12634_USG,1/19/2024 10:55:59 PM,dvs12634_USG,1/19/2024 6:51:00 PM,other,"Dhruv Singh, Paul Hassel",Alapaha River WMA,,31,13:52,,,,0,0,75-100,51-75,Completely dry!,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:53,,"Did not monitor ard, answer NA
",,No,Unit_working_and_unchanged,,No,-83.3463362140153,31.5142734313023
