"Year","SampleWindow","Date","Site","WetlandID","Species","Egg","Larvae","JuveAdult","Call","Notes","Total","Month"
"2019","February","1/31/2019","ARWMA","3","Acris gryllus",0,0,1,"0","",NA,2
"2019","February","1/31/2019","ARWMA","30","Ambystoma tigrinum",0,7,0,"0","",NA,2
"2019","February","1/31/2019","ARWMA","31","Ambystoma tigrinum",0,26,0,"0","",NA,2
"2019","February","1/31/2019","ARWMA","31","Ambystoma tigrinum",0,25,0,"0","",NA,2
"2019","February","1/31/2019","ARWMA","3","Ambystoma tigrinum",0,2,0,"0","",NA,2
"2019","February","1/31/2019","ARWMA","30","Pseudacris crucifer",1,0,1,"","",NA,2
"2019","February","1/31/2019","ARWMA","31","Pseudacris crucifer",0,0,0,"3","calling",NA,2
"2019","February","1/31/2019","ARWMA","31","Pseudacris crucifer",0,0,0,"1","calling",NA,2
"2019","February","1/31/2019","ARWMA","3","Pseudacris crucifer",8,0,0,"1","calling",NA,2
"2019","February","1/31/2019","ARWMA","3","Pseudacris crucifer",0,2,0,"1","tadpoles, calling",NA,2
"2019","February","1/31/2019","ARWMA","30","Pseudacris feriarum",1,0,0,"0","",NA,2
"2019","February","1/31/2019","ARWMA","3","Pseudacris feriarum",8,0,0,"1","calling",NA,2
"2019","February","1/31/2019","ARWMA","3","Pseudacris feriarum",0,2,0,"0","tadpoles",NA,2
"2019","February","1/31/2019","ARWMA","30","Pseudacris nigrita",1,0,0,"0","",NA,2
"2019","February","1/31/2019","ARWMA","3","Pseudacris nigrita",8,0,0,"1","calling",NA,2
"2019","February","1/31/2019","ARWMA","3","Pseudacris nigrita",0,2,0,"0","tadpoles",NA,2
"2019","February","1/31/2019","ARWMA","30","Pseudacris ocularis",1,0,0,"0","",NA,2
"2019","February","1/31/2019","ARWMA","3","Pseudacris ocularis",8,0,0,"1","calling, unintelligible writing",NA,2
"2019","February","1/31/2019","ARWMA","3","Pseudacris ocularis",0,2,0,"0","tadpoles",NA,2
"2019","February","1/31/2019","ARWMA","30","Pseudacris ornata",1,45,0,"0","",NA,2
"2019","February","1/31/2019","ARWMA","31","Pseudacris ornata",0,2,0,"0","",NA,2
"2019","February","1/31/2019","ARWMA","31","Pseudacris ornata",0,2,0,"0","",NA,2
"2019","February","1/31/2019","ARWMA","3","Pseudacris ornata",0,33,0,"0","",NA,2
"2019","February","1/31/2019","ARWMA","3","Pseudacris ornata",0,200,0,"0","",NA,2
"2019","February","1/31/2019","ARWMA","3","Rana capito",0,1,0,"0","1 potential capito tadpole from the deepest center",NA,2
